Doc_name,Page_num,Paragraph_num,Paragraph_content,Paragraph_length,SA_label,17 SDG Alignment,GRI Topic Alignment,Informative & Non-Informative/Vague Sustainability Text Identification,Qualitative & Quantitative Sustainability Text Identification,High Potential Greenwashing Detection,Climate Alignment,GRI Climate Alignment,GRI Climate Action (SDG13) Alignment,Climate Action (SDG13) Alignment
ASICS_sustainability_report_2024.pdf,10,1,Our robust sustainability governance structure ensures the integration of sustainability into our business and keeps us on track to achieve our goals. Our governing bodies are also responsible for dealing with grievances and violations of ASICS policies.,35,Relevant,SDG_8: Economic Growth,General,Non-informative/Vague,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,10,2,"→Board of Directors Chaired by the CEO, the Board of Directors oversees the ASICS sustainability strategy, including climate action, human rights, and other topics, and ensures sustainability is integrated and prioritized in corporate objectives. The Chief Administrative Officer (CAO) and the General Manager of the sustainability department report to the Board of Directors at least twice a year on sustainability-­ related risks and opportunities based on information from the Sustainability Committee and Risk Management Committee.",65,Relevant,SDG_12: Responsible Consumption,General,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,Economical Aspect (GRI 201),Non-Climate Action
ASICS_sustainability_report_2024.pdf,10,3,"How We Deal with Critical Concerns ASICS employees, subsidiaries, suppliers, and partners are encouraged to use our confidential Global Whistleblowing System to report their concerns, which they can do anonymously. All reports are dealt with promptly and confidentially by each regional compliance committee, according to the process outlined in our Global Policy on Protected Disclosure. Critical concerns are ultimately reported to the compliance committee at ASICS’ Headquarters, as disclosed in the GRI content index.",64,Relevant,SDG_16: Peace,Economic,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,11,1,"Our sustainability efforts have a greater impact when we focus on our most important impacts, risks, and ­opportunities, as determined by our business and our stakeholders. To do this, we update our materiality assessment regularly, ­including an annual update and a comprehensive review every three years.",38,Relevant,SDG_8: Economic Growth,General,Non-informative/Vague,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,11,2,"Our last comprehensive assessment was conducted in 2023, and our annual review in 2024 resulted in no changes. This double materiality assessment involved determining the outward impact ASICS has on people and the planet, as well the opportunities and risks that sustainability issues can bring to the business. ASICS is planning to conduct a DMA validation process in 2025 to anticipate on the upcoming CSRD legislation.",59,Relevant,SDG_12: Responsible Consumption,Economic,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,11,3,"Importance to Social Value Creation & Impact 5. Climate Action 6. Circularity 7. Diversity, Equity and Inclusion 8. Corporate Governance & Disclosure 9. Biodiversity & Water Man- agement 4. Human Rights and Trans- parency 3. Quality of Products and Services 2. Innovation 1. Mental and Physical Well-Being. ",31,Relevant,SDG_13: Climate Action,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,11,4,Material Topics We mapped the topics in terms of their importance to social value creation and impact and their importance to ASICS philosophy and strategy. The resulting matrix reveals the most material topics for ASICS to focus on:,36,Relevant,SDG_8: Economic Growth,General,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,12,1,"ASICS operates within an extensive value chain, and our impacts, risks, and opportunities reach beyond our direct activities. This visual shows our priority material topics appear in the value chain, helping us make a positive impact on people and the planet.",35,Relevant,SDG_8: Economic Growth,Economic,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,13,1,"Material Topic Approach KPIs Targets Key Actions in 2024 2024 Results (compared to 2023) 2025 Plans (progress towards targets) →We aim to create a world in which we can all live healthfully both mentally and physically, maintaining involvement with exercise and sports over our entire lifetime.",36,Relevant,SDG_3: Good Health,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,13,2,"→Rolled out initiatives to promote ""Sound Mind, Sound Body,"" including the Move Her Mind hub, Desk Break Experiment, and related campaigns. →Built a Customer Data Platform using Runkeeper and race registrations to enhance customer communications.",26,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,13,3,"→100% of strategic Tier 1 footwear suppliers have a concrete renewable energy sourcing plan, and we updated the Green Procurement Policy to require strategic Tier 1 footwear suppliers to commit sourcing 100% renewable energy by 2030. →Launched new Material Procurement Policy.",33,Relevant,SDG_12: Responsible Consumption,Environmental,Informative,Quantitative,Low Potential Greenwashing,Climate,GRI 302,Environmental Aspect (GRI 305),Climate Action (SDG13)
ASICS_sustainability_report_2024.pdf,13,4,"→17.64 million 1 (12.29 million) 2 (2023: 9.45 million) →Eliminated the intentional use of PFAS for all applications from 2024 autumn & winter season, except for essential use in non-regulated regions. (2023: Reduced intentional use of PFAS.) →97% (based on factories assessed in the most recent annual cycle) (2023: 99%) →43.1% (scope 1 and 2) 14.9% (scope 3) (2023: 31.3% (scope 1 and 2), 21.6% (scope 3)) →36.8% (2023: 29.9%) →Establish the ASICS Foundation and engage in social contribution activities. →Aim to enhance brand engagement through personalized customer communications utilizing our customer data platform. →Build a unique loyalty program that only ASICS can provide, featuring consistent runner experiences through our running ecosystem.",66,Relevant,SDG_8: Economic Growth,Social,Informative,Quantitative,Low Potential Greenwashing,Climate,GRI 306,Economical Aspect (GRI 201),Climate Action (SDG13)
ASICS_sustainability_report_2024.pdf,13,5,→Strengthen supply chain risk assurance and compliance. →Enhance supplier engagement ownership for proactive risk management. →Implement traceability program for greater transparency. →Improve data collection through integration across all relevant systems. →Stay agile with the industry trends and regulatory requirements.,29,Relevant,SDG_16: Peace,Economic,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,13,6,"Climate Action 1 From FY24, the membership of local programs in China, India, and other countries are counted in addition to the membership of the global programs in Japan, the U.S., Europe, and Australia. In addition, in accordance with our ASICS Privacy Policy, we have closed and deleted “inactive” accounts which hadn’t been used for two years. 2 On the same basis as FY23Q4 (mainly in Japan, the U.S., Europe, and Australia/before deletion). Year-on-year change is also based on this number.",58,Relevant,SDG_13: Climate Action,Economic,Informative,Quantitative,Low Potential Greenwashing,Climate,GRI 2,Economical Aspect (GRI 201),Climate Action (SDG13)
ASICS_sustainability_report_2024.pdf,13,7,"KPIs and Actions at a Glance →Continue to manage restricted harmful chemical substances in our products. →Eliminate the intentional use of PFAS for all applications from 2024 autumn & winter season, except for essential use in non-regulated regions.",30,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,14,1,"Material Topic Approach KPIs Targets Key Actions in 2024 2024 Results (compared to 2023) 2025 Plans (progress towards targets) →We aim to reduce CO2 emissions and other environmental impacts by using less material, creating products for longer use, and circulating resources.",29,Relevant,SDG_12: Responsible Consumption,Environmental,Informative,Qualitative,Low Potential Greenwashing,Climate,GRI 306,Environmental Aspect (GRI 305),Climate Action (SDG13)
ASICS_sustainability_report_2024.pdf,14,2,→All regions have created action plans to support women’s career advancement as part of gender equality. →The Global DE&I Steering Committee monitors the progress of each action plan.,22,Relevant,SDG_5: Gender Equlaity,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,14,3,"→Launched the global engagement survey. All regions created action plans to create a rewarding workplace for employees in order to achieve Sound Mind, Sound Body.",21,Relevant,SDG_8: Economic Growth,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,14,4,"→In order to retain talent, company provide workshops for managers who have people with disabilities in their teams in Japan. →All employees in Japan attended the Kobe Para Athletics World Championships. →Enhanced recruitment publicity activities led to the hiring of 2 new graduates and 3 mid-career professionals, including 2 para-athletes.",38,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,14,5,"→>50% (2023: >40%) →4 regions (2023: 3 regions with recycle and reuse programs.) →39.5% (as of December 2024) (2023: 38.1%) →73 (2023: 68) →3.1% (2023: 2.9%) →Collaborate with each category to increase the ratio of recycled materials, following a clear strategic direction.",21,Relevant,SDG_12: Responsible Consumption,Environmental,Informative,Quantitative,Low Potential Greenwashing,Climate,GRI 306,Environmental Aspect (GRI 305),Climate Action (SDG13)
ASICS_sustainability_report_2024.pdf,14,6,→Utilize learning from NIMBUS MIRAITM and expand the take-back programs →Each region will review and update their action plan to continue based on the progress. The Global DE&I Steering Committee will continue to monitor and review the overall process.,33,Relevant,SDG_4: Quality Education,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,14,7,"→To create an environment where people can thrive regardless of disabilities, each region will start implementation of action plans focused on this topic, including raising awareness and education.",24,Relevant,SDG_1: No Poverty,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,16,1,"People are central to our founding philosophy – Sound Mind, Sound Body – so it’s not surprising that people are the focus of many of our material topics, which reflect what’s important to the business and to our partners, consumers, and other stakeholders.",34,Relevant,SDG_8: Economic Growth,General,Non-informative/Vague,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,16,2,"Physical and mental well-being, human rights in the supply chain, and employee engagement are vital to ensuring we create value while minimizing our negative impacts. People are therefore central in everything we do, from product design to donations, community engagement to talent management.",37,Relevant,SDG_8: Economic Growth,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,16,3,"Steered by our policies and guidelines, we help improve consumers’ lives with our products and services, nurture a diverse and equitable working environment for employees, support our suppliers’ sustainability journeys, and give back to communities. Together, we are making progress towards the ambitious targets that will help ensure a healthy future.",42,Relevant,SDG_8: Economic Growth,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 306,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,16,4,1. Strengthen supply chain risk assurance and compliance. 2. Enhance supplier engagement ownership for proactive risk management. 3. Implement traceability program for greater transparency. 4. Improve data collection through integration across all relevant systems. 5. Stay agile with the industry trends and regulatory requirements.,34,Relevant,SDG_16: Peace,Economic,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,17,1,"Mental and physical well-being is our most material topic, reflecting its importance to our stakeholders. We want to inspire people to move their bodies and benefit from the mental boost sports and exercise can bring. To do this, we work with experts to build a scientific understanding of the connec- tion between mind and body that is our founding philosophy.",53,Relevant,SDG_3: Good Health,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,17,2,"By 2026, we strive to grow our OneASICS membership to 30 million. We have already made strong progress—17.64 million members in 2024 compared to 9.45 million in 2023. Our 2024 initiatives, such as the Move Her Mind study and hub, promote women's well-being and participation in exercise, while the Desk Break Experiment campaign addresses workplace mental health by encouraging active breaks.",47,Relevant,SDG_5: Gender Equlaity,Social,Informative,Quantitative,Low Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,17,3,"In the last few months of 2024, we made preparations to establish the ASICS Foundation, with the aim to drive positive social impact in the spirit of our founder. The ASICS Foundation became a reality on April 1, 2025.",34,Relevant,SDG_8: Economic Growth,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,17,4,"In 2025, we will take further steps to enhance services for our 12.29 million active members, expand high-value brand experi- ences, and continue developing innovative products, services, and business models that inspire lifelong movement.",25,Relevant,SDG_8: Economic Growth,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,17,5,"Playing sports and exercising are key to mental well-being, with women who exercise regularly reporting being 52% happier. Yet there is a gender gap: women are less likely to access sports and exercise. We wanted to find out why – and close this gap.",37,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,17,6,"In 2024, 26,000 people across 22 countries took the second global ASICS State of Mind survey, exploring the relationship between exercise and mental health. The survey calculated State of Mind scores, confirming that those who exercise regularly maintain higher mental well-being.",34,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,17,7,"In response to these findings, ASICS launched two significant campaigns: • “State of Mind” promotes that approx. 15 minutes and 9 seconds of movement can positively affect mental state. Read more in our 2023 report → • “Move Her Mind” explores and addresses the gender gap in physical activity by supporting women’s participation in sports and exercise.",41,Relevant,SDG_5: Gender Equlaity,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,18,1,Women who exercise regularly reported being happier (52%) and more confident (48%) and having better concentration (38%). Yet they are less likely to participate in exercise and sports.,24,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,18,2,"In partnership with leading experts around the world, ASICS completed a global research study – MOVE HER MIND – ­involving 24,959 participants across 40+ countries and ­launched the ""Move Her Mind Hub"" initiative to promote women's participation in sports and exercise.",30,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,18,3,"Assistant Professor at the University of Kentucky Sports Medicine Research Institute; exercise and mental health ­research expert Dr. Brendon Stubbs from King's College London; and Aya Noguchi, Deputy Director of the International Research Center for Sport and Gender Equality at Seijo University in Japan, who provided cultural context and analysis. Together, we implemented a survey across more than 40 countries between June and September 2023, ­attracting 24,772 responses. In addition, 187 participants took part in focus group interviews.",61,Relevant,SDG_3: Good Health,Social,Informative,Quantitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,18,4,"Closing the Gender Gap in Sports and Exercise Despite the clear benefits, over 51% of women reported having reduced or stopped exercising. Why? The primary barriers to participating included a lack of time (74%), absence of safe environments (43%), low energy (42%), and lack of confidence (35%). The research also revealed ways to close the gap, with more than one-third of women saying friends and peers are their biggest influencers for exercise participation. With this in mind, ASICS launched the Move Her Mind Hub initiative, which brings together inspiring stories of women and grassroots organizations and enables users to share activities and experiences related to sports and ­exercise, helping women connect and feel motivated.",99,Relevant,SDG_5: Gender Equlaity,Social,Informative,Quantitative,High Potential Greenwashing,Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,19,1,"The desk, where millions of people work for hours every day, is a workplace mental health threat that ASICS warned the world about in a 2024 public service announcement. Built on the results of two studies, we ran a campaign to raise awareness about the negative mental health impacts of prolonged desk work and promote the benefits of 15-minute active breaks during workdays.",56,Relevant,SDG_16: Peace,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,19,2,"It Takes Approx. 15 Minutes The ASICS State of Mind study revealed the positive impact of an approximately 15-minute active break (read more in our ASICS State of Mind Study). To dive deeper, we worked with Dr. Brendon Stubbs from King's College London to conduct a two-week controlled Desk Break Experiment with 80 office workers in 16 countries, plus an online survey with 7,000 office workers in 7 countries. Workers who took 15-minute active breaks every day saw an improvement in scores for mental state (22.5%), relaxation (33.3%), productivity (33.2%), and other areas. There were also clear benefits for the employer, with 79.2% of participants reporting increased loyalty to those who offer regular exercise opportunities.",92,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,19,3,"The Desk Break Experiment Our global public service announcement – The Desk Break experiment – stars actor Brian Cox, who warns workers of the dangers of being glued to their desks for eight to ten hours a day and calls on them to get up and move for 15 minutes. People shared their #DeskBreak photos on social media.",51,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,19,4,"The global campaign reached tens of thousands of people around the world, encouraging them to take a Desk Break to feel happier, calmer, more resilient, and more productive, in line with our philosophy: Sound Mind, Sound Body. The campaign led ASICS to create workplace policy guides, and in some markets, employee contracts were revised to officially recognize the 15-minute movement break as a workplace right.",53,Relevant,SDG_8: Economic Growth,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,20,1,"We believe in the importance of health and well-being for everyone, especially the next generation: ‘Sound Mind, Sound Body’ is a philosophy for everyone. Sports and play-based activities for young children enhance physical and mental well-being. They develop skills in problem-solving, decision-­ making, social skills, and critical thinking. The ASICS State of Mind study has shown that exercise during teenage years is also beneficial for later in life. Young people aged 15-17 are in a crucial period for establishing lifelong exercise habits that directly affect mental health in adulthood, according to mental state research. It’s therefore concerning that more young people are abandoning exercise at earlier stages than before.",89,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,20,2,"Read the ASICS State of Mind Study 2024 → ASICS promotes youth development through sports, in line with our Community Engagement guidelines and our ­founder’s belief in ‘Sound Mind, Sound Body.’ We aim to create lasting social impact and business value through community initiatives.",36,Relevant,SDG_8: Economic Growth,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,20,3,"In 2024, we continued to work with our global charity partner Right To Play. Through our partnership, we support various programs in Africa, including programs supporting large numbers of refugees in the region. In 2024, ASICS’ support contributed to more than 60,000 children and 21,000 teachers, coaches, and facilitators in sport, play, and psychosocial support activities in Burundi, Ethiopia, Uganda, Tanzania, Ghana, and Senegal.",45,Relevant,SDG_4: Quality Education,Social,Informative,Quantitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
ASICS_sustainability_report_2024.pdf,20,4,"Right To Play is a leader in using the power of play to help the world’s most marginalized children. Even in the most ­desperate conditions, where mental health services are unavailable, children can draw on the power of play to become more emotionally resilient.",38,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,20,5,"Using play-based psychosocial methods, Right To Play creates caring, supportive environments that help trauma- tized children understand and manage the complex emotions they are feeling, including grief, loss, and fear."" is missing.",23,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,20,6,"To further support Right To Play and celebrate World Children’s Day (20 November), ASICS held an internal running challenge called Run for Play, using the Race Roster system and our Runkeeper app. From 9-24 November 2024, ASICS employees could participate in the challenge once, and for every completed 3km run or walk, we donated $1 to children through Right To Play – equivalent to a week's worth of play for a child. There were 534 registrations and 264 completions, resulting in a $264 donation.",65,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,20,7,"In addition to our partnership support to Right To Play, ASICS Headquarters and ASICS Japan hosted several other fundraising programs in 2024. Through ecommerce in Japan, we enabled customers to donate one ASICS point, resulting in a $332 (¥49,936) donation to Right To Play. At ASICS sports events in Tokyo and Kobe, we hosted a challenge for employees to keep track of their steps that day. If their steps exceeded 10,000, we donated $1 to Right To Play, resulting in a $163 donation. And during the AW25 exhibition (26-29 November), ASICS Japan donated $1 for every survey response from retailers and wholesalers, resulting in a $60 donation.",86,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASICS_sustainability_report_2024.pdf,21,1,"Underscoring the importance of mental health for a Sound Mind, Sound Body, ASICS Oceania partners with the Goanna Academy (GA), which focuses on empowering young Indigenous Australians through sport, education, and cultural development.",27,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
